time,place,latitude,longitude,depth,mag
2018-09-16 13:58:39,"227km ESE of Iwo Jima, Japan",24.1515,143.464,10.0,4.5
2018-09-16 10:52:37,"159km E of Nago, Japan",26.7024,129.5769,10.0,4.8
2018-09-15 18:39:07,"56km SE of Hasaki, Japan",35.3801,141.2864,29.41,4.5
2018-09-15 18:34:35,"161km E of Nago, Japan",26.7178,129.5933,10.0,4.6
2018-09-15 16:46:14,"179km E of Nago, Japan",26.6213,129.7791,10.0,4.6
2018-09-15 16:33:21,"160km E of Nago, Japan",26.4878,129.5875,10.0,4.6
2018-09-15 16:24:34,"154km E of Nago, Japan",26.5742,129.5279,10.2,5.6
2018-09-15 15:37:59,"165km E of Nago, Japan",26.6904,129.6387,10.15,5.2
2018-09-15 14:09:01,"183km E of Nago, Japan",26.6617,129.8195,10.0,4.7
2018-09-15 13:53:38,"176km E of Nago, Japan",26.7462,129.7372,10.0,4.9
2018-09-15 13:34:02,"161km E of Nago, Japan",26.6846,129.5989,10.0,4.6
2018-09-15 08:38:51,"157km E of Nago, Japan",26.6666,129.5559,10.0,4.6
2018-09-15 08:32:21,"157km E of Nago, Japan",26.5998,129.5599,10.0,5.0
2018-09-15 08:19:18,"159km E of Nago, Japan",26.6092,129.5737,10.0,4.9
2018-09-15 08:11:30,"170km E of Nago, Japan",26.6318,129.6883,10.0,4.7
2018-09-15 08:05:29,"162km E of Nago, Japan",26.6827,129.6017,10.0,5.7
2018-09-15 08:05:12,"152km E of Nago, Japan",26.7366,129.4978,10.0,5.1
2018-09-15 05:38:38,"170km E of Nago, Japan",26.774,129.6812,10.0,4.7
2018-09-15 05:07:44,"190km E of Nago, Japan",26.5723,129.8862,10.0,4.8
2018-09-15 05:07:20,"160km E of Nago, Japan",26.707,129.5875,10.0,4.6
2018-09-15 04:54:38,"165km E of Nago, Japan",26.6796,129.6362,10.0,4.9
2018-09-15 04:52:47,"171km E of Nago, Japan",26.6176,129.6998,10.0,4.9
2018-09-15 04:40:19,"158km E of Nago, Japan",26.6974,129.5594,10.0,5.4
2018-09-15 04:14:35,"167km E of Nago, Japan",26.6969,129.6547,10.0,4.9
2018-09-15 03:51:16,"161km E of Nago, Japan",26.6719,129.5944,10.0,4.6
2018-09-15 01:48:29,"161km E of Nago, Japan",26.7476,129.5933,10.0,4.8
2018-09-15 01:41:55,"163km E of Nago, Japan",26.7059,129.6128,10.0,4.6
2018-09-15 00:08:21,"166km E of Nago, Japan",26.7302,129.6429,9.32,5.7
2018-09-14 05:35:24,"9km WNW of Kitaibaraki, Japan",36.8176,140.6565,7.87,4.6
2018-09-13 21:54:22,"24km ESE of Chitose, Japan",42.7494,141.934,26.62,4.5
2018-09-12 16:33:59,"32km E of Tomakomai, Japan",42.634,142.0047,22.41,4.5
2018-09-11 15:08:49,"36km S of Nishinoomote, Japan",30.4041,131.0237,35.0,4.8
2018-09-11 14:18:17,"38km S of Nishinoomote, Japan",30.3898,131.0138,35.0,4.6
2018-09-11 13:25:58,"98km E of Mutsu, Japan",41.2526,142.3943,45.26,4.9
2018-09-11 12:14:57,"75km WSW of Nishinoomote, Japan",30.4666,130.2796,35.0,4.6
2018-09-10 19:58:45,"31km E of Tomakomai, Japan",42.6802,141.9843,35.0,4.6
2018-09-10 14:58:39,"16km SSW of Katsuura, Japan",34.9969,140.2387,28.35,4.6
2018-09-09 13:55:11,"26km E of Chitose, Japan",42.785,141.9702,20.79,4.7
2018-09-09 00:42:16,"Izu Islands, Japan region",29.8659,142.2818,10.85,4.7
2018-09-08 16:15:57,"22km SE of Nishinoomote, Japan",30.5852,131.1662,35.0,4.6
2018-09-08 10:36:37,"Izu Islands, Japan region",29.7361,141.149,70.66,4.6
2018-09-07 13:43:46,"27km E of Chitose, Japan",42.7949,141.9855,39.67,4.6
2018-09-07 04:25:25,"24km ESE of Chitose, Japan",42.7397,141.9312,42.72,4.7
2018-09-06 14:43:48,"37km ESE of Chitose, Japan",42.7233,142.0853,35.0,4.5
2018-09-05 21:32:32,"36km ESE of Chitose, Japan",42.7449,142.0828,41.48,4.5
2018-09-05 21:11:28,"32km E of Tomakomai, Japan",42.6827,142.0003,29.28,5.3
2018-09-05 21:04:32,"34km E of Tomakomai, Japan",42.681,142.0247,43.7,4.7
2018-09-05 19:10:47,"28km ESE of Chitose, Japan",42.7136,141.9663,34.47,4.8
2018-09-05 18:32:51,"38km ESE of Chitose, Japan",42.7504,142.1164,35.0,4.6
2018-09-05 18:23:48,"23km ESE of Chitose, Japan",42.7676,141.9347,33.03,4.9
2018-09-05 18:20:11,"36km E of Tomakomai, Japan",42.59,142.0468,35.0,5.2
2018-09-05 18:17:10,"32km E of Tomakomai, Japan",42.6389,142.001,35.0,5.3
2018-09-05 18:07:59,"27km ENE of Tomakomai, Japan",42.6861,141.9294,35.0,6.6
2018-09-05 01:26:49,"51km E of Nemuro, Japan",43.3596,146.2066,59.49,4.6
2018-09-04 20:11:19,"65km ESE of Takahagi, Japan",36.4802,141.392,39.53,5.4
2018-09-02 21:47:50,"15km NNW of Hagi, Japan",34.5324,131.3736,21.28,4.5
2018-09-02 02:58:46,"136km NE of Naze, Japan",29.1934,130.5179,10.0,4.5
2018-09-01 18:43:53,"143km S of Nishinoomote, Japan",29.4436,130.9673,35.65,4.7
2018-09-01 15:43:00,"247km WNW of Chichi-shima, Japan",27.9555,139.9127,435.0,5.6
2018-09-01 13:37:34,"49km NE of Hasaki, Japan",36.0507,141.2251,20.92,4.5
2018-08-31 06:02:30,"Off the east coast of Honshu, Japan",36.9765,144.455,35.46,4.5
2018-08-30 15:38:16,"147km ENE of Hachinohe, Japan",40.9248,143.1512,38.72,4.5
2018-08-30 03:32:54,"90km NNE of Iwo Jima, Japan",25.5728,141.5749,38.37,4.5
2018-08-28 06:00:27,East of the Kuril Islands,45.9541,153.1568,35.0,4.6
2018-08-24 23:57:15,"199km S of Itoman, Japan",24.3515,127.3092,31.92,4.7
2018-08-24 21:30:30,"45km E of Hachinohe, Japan",40.558,142.0316,55.4,4.6
2018-08-24 14:15:55,"117km NE of Hachinohe, Japan",41.1252,142.6273,43.25,5.3
2018-08-24 02:03:23,"279km SE of Kamaishi, Japan",37.7816,144.4766,35.0,4.5
2018-08-22 20:46:15,"Volcano Islands, Japan region",23.6691,144.0696,10.0,4.5
2018-08-22 15:06:27,"104km S of Shizunai, Japan",41.4025,142.5438,41.27,5.0
2018-08-22 09:23:39,"7km NNW of Uto, Japan",32.7493,130.6459,10.0,4.5
2018-08-21 11:27:36,"79km NE of Iwo Jima, Japan",25.2181,141.9639,10.0,4.5
2018-08-21 07:46:00,"94km ESE of Hachijo-jima, Japan",32.819,140.7641,59.12,4.6
2018-08-20 17:47:07,"4km SW of Mitsukaido, Japan",35.9798,139.9525,55.15,4.5
2018-08-20 08:55:05,"258km ESE of Iwo Jima, Japan",23.5611,143.4975,10.0,4.6
2018-08-19 18:09:56,"0km S of Wakuya, Japan",38.5316,141.1332,105.45,4.5
2018-08-19 13:00:24,"83km N of Iwo Jima, Japan",25.5288,141.4702,10.0,4.8
2018-08-19 06:09:00,"Volcano Islands, Japan region",23.5491,145.0232,10.0,4.7
2018-08-19 04:31:22,Kuril Islands,48.1469,153.7501,93.2,4.9
2018-08-19 04:11:15,"241km ESE of Iwo Jima, Japan",23.6396,143.3625,10.0,4.7
2018-08-19 04:05:44,"246km ESE of Iwo Jima, Japan",23.573,143.3636,10.0,5.2
2018-08-19 02:00:29,"72km N of Abashiri, Japan",44.6762,144.2457,231.53,4.5
2018-08-17 14:57:25,"260km ESE of Iwo Jima, Japan",23.5329,143.5053,10.0,4.6
2018-08-17 12:23:55,"246km ESE of Iwo Jima, Japan",23.6965,143.4467,10.0,4.5
2018-08-17 00:06:58,"267km ESE of Iwo Jima, Japan",23.5356,143.5884,10.0,4.6
2018-08-14 11:51:01,"8km E of Toyohashi, Japan",34.7762,137.4787,51.64,4.6
2018-08-14 09:22:38,"279km ESE of Haebaru, Japan",25.415,130.4679,10.0,4.7
2018-08-14 03:35:50,"15km SE of Ohara, Japan",35.1535,140.5067,60.53,4.5
2018-08-13 19:09:01,"Izu Islands, Japan region",30.5992,142.686,10.0,4.6
2018-08-13 16:19:16,"110km N of Hirara, Japan",25.7988,125.2304,107.61,5.1
2018-08-12 15:33:31,"47km SE of Shizunai, Japan",41.9949,142.7105,69.01,4.5
2018-08-11 05:18:34,"65km SSE of Hasaki, Japan",35.2408,141.2326,18.81,4.6
2018-08-10 21:11:17,"27km NE of Iwaki, Japan",37.2213,141.1065,13.15,4.7
2018-08-10 14:44:31,Kuril Islands,47.6279,153.0823,67.04,4.5
2018-08-09 03:07:55,"240km N of Chichi-shima, Japan",29.2356,142.5383,33.29,4.5
2018-08-08 09:07:19,"37km SE of Namie, Japan",37.2137,141.2632,9.43,4.7
2018-08-07 15:12:57,"242km ESE of Ofunato, Japan",37.8857,144.0549,14.47,5.5
2018-08-06 20:10:54,"3km WSW of Oami, Japan",35.503,140.2869,59.45,4.6
2018-08-06 10:56:05,"40km SE of Hasaki, Japan",35.5093,141.1921,37.28,4.7
2018-08-05 22:50:08,"141km ENE of Miyako, Japan",40.2263,143.4144,18.39,4.7
2018-08-05 08:44:17,"69km ENE of Mutsu, Japan",41.5086,141.9919,55.84,4.6
2018-08-03 13:07:03,"Izu Islands, Japan region",30.3775,137.1884,494.33,4.6
2018-07-31 08:42:20,"23km NE of Iwaki, Japan",37.1788,141.0967,10.9,5.5
2018-07-30 20:49:51,Kuril Islands,47.0404,154.4987,10.0,4.5
2018-07-30 20:44:20,Kuril Islands,47.6266,153.7053,35.0,4.7
2018-07-29 00:58:48,"21km NW of Yaita, Japan",36.9244,139.7469,10.0,4.5
2018-07-28 00:50:07,"Izu Islands, Japan region",30.6506,141.752,22.15,4.9
2018-07-27 01:25:26,"93km ESE of Nago, Japan",26.2655,128.847,16.11,4.6
2018-07-25 17:46:06,"24km E of Namie, Japan",37.5147,141.2729,52.55,4.5
2018-07-25 12:37:47,Kuril Islands,46.6511,152.6648,35.0,4.6
2018-07-25 04:20:30,"282km ESE of Haebaru, Japan",25.3772,130.4836,10.0,5.3
2018-07-24 14:07:44,"79km SE of Haebaru, Japan",25.931,128.5219,5.68,4.5
2018-07-23 11:11:37,"112km E of Chichi-shima, Japan",27.1198,143.3544,10.0,4.8
2018-07-19 11:52:06,"27km ENE of Iwaki, Japan",37.1264,141.1818,53.62,4.5
2018-07-18 07:44:51,"61km E of Hasaki, Japan",35.7832,141.5061,37.04,4.6
2018-07-17 18:42:40,"158km SSW of Fukue, Japan",31.3888,128.1405,8.83,4.7
2018-07-17 08:26:23,Kuril Islands,45.6859,151.754,35.0,4.6
2018-07-16 19:42:52,"17km SE of Hitachi, Japan",36.4826,140.781,52.58,4.5
2018-07-16 19:34:11,"18km ESE of Funaishikawa, Japan",36.4291,140.7671,45.06,4.9
2018-07-16 02:51:57,"42km SE of Hasaki, Japan",35.4722,141.1784,27.05,4.7
2018-07-15 17:13:39,"54km E of Shizunai, Japan",42.2875,143.0264,59.34,4.9
2018-07-13 22:03:21,"138km SE of Hirara, Japan",24.0126,126.3499,10.0,4.6
2018-07-13 08:19:36,"77km SSE of Fukue, Japan",32.0106,129.0367,18.52,4.5
2018-07-12 08:39:23,"84km ESE of Ishinomaki, Japan",38.2054,142.2318,35.18,4.7
2018-07-12 03:09:24,"290km ESE of Iwo Jima, Japan",23.5464,143.8489,10.0,5.1
2018-07-12 00:38:01,"288km ESE of Iwo Jima, Japan",23.5443,143.8291,8.43,5.0
2018-07-10 05:47:01,"96km NE of Hasaki, Japan",36.2748,141.669,36.98,4.5
2018-07-10 05:23:44,"96km E of Oarai, Japan",36.2766,141.6769,32.47,4.9
2018-07-10 04:55:56,"79km ENE of Mutsu, Japan",41.563,142.0908,51.06,4.9
2018-07-08 21:07:02,"221km ESE of Hachijo-jima, Japan",32.2573,141.9467,10.0,4.7
2018-07-08 16:00:34,"32km ESE of Ohara, Japan",35.1702,140.7261,39.09,4.5
2018-07-07 14:12:17,"92km NNW of Chichi-shima, Japan",27.8968,142.0035,56.92,4.6
2018-07-07 11:23:50,"28km SE of Ohara, Japan",35.1073,140.6424,40.0,5.9
2018-07-05 21:16:11,"266km NNW of Chichi-shima, Japan",29.3529,141.3128,35.0,4.5
2018-07-03 11:38:48,"37km ESE of Nobeoka, Japan",32.4682,132.0448,40.21,4.5
2018-07-02 11:53:21,"123km SSE of Shizunai, Japan",41.2557,142.7104,37.82,5.2
2018-07-02 00:38:51,"Izu Islands, Japan region",29.904,142.266,10.0,4.6
2018-07-01 17:27:01,"76km ENE of Mutsu, Japan",41.5109,142.0835,54.39,4.9
2018-06-29 05:05:25,"15km S of Katsuura, Japan",34.9902,140.2975,32.36,4.6
2018-06-26 11:03:05,"19km E of Otsuchi, Japan",39.336,142.1222,39.72,4.8
2018-06-26 08:00:14,"8km NNW of Miyoshi, Japan",34.8713,132.816,35.34,4.6
2018-06-26 05:58:40,"131km NE of Naze, Japan",29.1628,130.4848,10.0,4.8
2018-06-25 01:08:21,"120km NE of Naze, Japan",29.0425,130.4531,10.0,4.6
2018-06-19 15:29:31,"196km SSE of Kushiro, Japan",41.2924,145.114,10.0,4.6
2018-06-18 15:31:24,"2km NNW of Neyagawa, Japan",34.788,135.61,10.0,4.6
2018-06-17 22:58:34,"1km NW of Hirakata, Japan",34.8246,135.6389,10.34,5.5
2018-06-17 21:36:10,"68km SSW of Nemuro, Japan",42.746,145.2894,55.35,4.7
2018-06-17 15:43:42,"45km SE of Ofunato, Japan",38.7988,142.1016,39.68,4.5
2018-06-17 06:27:22,"12km ENE of Shibukawa, Japan",36.5135,139.1346,11.23,4.6
2018-06-16 02:09:10,"9km E of Ohara, Japan",35.2647,140.4852,35.0,4.7
2018-06-13 22:14:32,"4km SE of Chiba-shi, Japan",35.5812,140.1624,70.17,4.5
2018-06-13 03:44:52,"Izu Islands, Japan region",30.078,140.954,91.39,4.7
2018-06-12 12:37:56,"82km ESE of Kushiro, Japan",42.5704,145.2129,44.37,4.6
2018-06-11 20:09:05,"21km SE of Ohara, Japan",35.1148,140.5461,35.0,4.9
2018-06-11 19:56:41,"36km SE of Nichinan, Japan",31.3566,131.6286,35.0,4.8
2018-06-11 19:54:21,"22km SE of Kushima, Japan",31.295,131.3679,30.0,5.4
2018-06-10 15:25:40,"46km SE of Nishinoomote, Japan",30.4455,131.3552,10.0,4.5
2018-06-10 14:55:19,"118km ENE of Chichi-shima, Japan",27.2865,143.3872,10.0,5.0
2018-06-07 12:18:03,"4km N of Hasaki, Japan",35.7724,140.8425,46.19,4.6
2018-06-07 05:58:41,"8km N of Sakura, Japan",35.7961,140.2276,50.92,4.5
2018-06-04 16:06:19,"122km ESE of Iwaki, Japan",36.5547,142.1138,24.3,4.6
2018-06-03 02:19:27,"Izu Islands, Japan region",29.9426,141.7798,35.0,4.5
2018-06-02 19:33:58,"253km WNW of Chichi-shima, Japan",27.602,139.7217,491.61,4.9
2018-06-02 17:20:58,"3km NW of Oami, Japan",35.5395,140.2868,63.67,4.5
2018-05-29 17:21:39,"212km N of Chichi-shima, Japan",28.9869,142.4575,25.79,4.6
2018-05-29 12:01:26,"63km E of Oarai, Japan",36.2643,141.3093,35.0,4.5
2018-05-28 20:53:37,Kuril Islands,48.2736,154.1246,52.53,4.6
2018-05-28 15:47:04,"51km ESE of Ishinomaki, Japan",38.3019,141.869,44.19,4.6
2018-05-27 22:48:04,"155km N of Chichi-shima, Japan",28.483,142.0546,35.0,4.6
2018-05-26 14:01:34,"71km SSE of Ishinomaki, Japan",37.8709,141.7377,49.28,4.7
2018-05-25 19:09:45,"108km SE of Naze, Japan",27.5625,130.1042,19.91,4.6
2018-05-25 12:13:42,"23km ENE of Iiyama, Japan",36.9333,138.6062,10.0,4.9
2018-05-25 10:06:46,"39km WNW of Naha-shi, Japan",26.4017,127.3475,58.06,4.6
2018-05-24 19:15:09,"128km WSW of Itoman, Japan",25.5048,126.5833,45.85,4.5
2018-05-24 11:12:16,"127km NNW of Nago, Japan",27.7142,127.7021,118.44,5.0
2018-05-22 20:11:02,"47km N of Kizukuri, Japan",41.2337,140.3652,151.89,4.6
2018-05-22 12:55:38,"11km S of Hasaki, Japan",35.6324,140.8261,35.0,4.7
2018-05-21 02:17:35,Kuril Islands,46.4458,153.2433,10.0,4.6
2018-05-17 18:42:13,"70km S of Nemuro, Japan",42.6846,145.586,30.0,5.7
2018-05-17 03:12:32,"9km SE of Asahi, Japan",35.6584,140.7193,41.89,5.3
