Name,Elevation_meters,Latitude,Longitude,Region,Active
Kobayashi Caldera,-,31.99,130.976,Kyushu,No
Mount Kujū,1791,33.083,131.251,Kyushu,Yes
Sakurajima,1117,31.585,130.657,Kyushu,Yes
Ojikajima Volcano Group,111,33.201,129.063,Kyushu,No
Lake Sumiyoshi,-,31.771,130.591,Kyushu,No
Yonemaru,-,31.775,130.564,Kyushu,No
Mount Takasaki,628,33.252,131.524,Kyushu,No
Mount Tara,1076,32.974,130.071,Kyushu,No
Mount Tsurumi and Mount Garan,1584,33.28,131.432,Kyushu,Yes
Mount Unzen,1500,32.757,130.294,Kyushu,Yes
Mount Yufu,1583,33.282,131.390,Kyushu,No
Akusekijima,586,29.45,129.60,Ryukyu_Islands,No
Gajajima,497,29.903,129.541,Ryukyu_Islands,No
Kogajajima,301,29.879,129.625,Ryukyu_Islands,No
Submarine Volcano NNE of Iriomotejima,-,24.558,124.00,Ryukyu_Islands,Yes
Iōtorishima,212,27.877,128.224,Ryukyu_Islands,Yes
Kikai Caldera,704,30.789,130.308,Ryukyu_Islands,Yes
Kuchinoshima,628,29.967,129.924,Ryukyu_Islands,No
Kuchinoerabujima,649,30.43,130.22,Ryukyu_Islands,Yes
Nakanoshima,979,29.859,129.856,Ryukyu_Islands,Yes
Suwanosejima,799,29.638,129.714,Ryukyu_Islands,Yes
Yokoatejima,495,28.799,128.996,Ryukyu_Islands,No
